riverName,riverId,outletRiverId,watershedName,lat,lon,country,parentRiverId,bboxWest,bboxSouth,bboxEast,bboxNorth,notes,validationFlag,sourceRow,wikipedia
Pite,240145371,240145371,Pite,65.37299,21.31254,Sweden,,16.36191,65.37299,21.31254,67.14344,,,523.0,
Oulu,240153456,240153456,Oulu,65.01521,25.44804,Finland,,25.44804,63.82431,30.47889,65.63877,,,395.0,
Pregolya,240162111,240162111,Pregolya,54.64239,19.87287,Russia,,18.92728,53.49428,22.70046,54.90117,,,378.0,
Iijoki,240183390,240183390,Iijoki,65.33054,25.29544,Finland,,25.29544,64.86943,29.45538,66.04821,,,392.0,
Kemijoki,240186820,240186820,Kemijoki,65.76999,24.45356,Finland,,23.4098,65.76999,29.86371,68.77889,,,391.0,
Lule,240187981,240187981,Lule,65.58643,22.04499,Sweden,,16.26871,65.58643,22.04499,68.19477,,,385.0,
Luga,240188321,240188321,Luga,59.67652,28.31135,Russia,,28.14194,58.47841,31.00831,59.67652,,,514.0,
Kalix,240196031,240196031,Kalix,65.86288,23.1046,Sweden,,18.11748,65.86288,23.2041,68.52689,,,384.0,
Neman,240208157,240208157,Neman,55.25628,21.17962,Russia,,21.17962,52.68427,27.8843,56.00018,,,377.0,
Neva,240219410,240219410,Neva,59.91774,30.24684,Russia,,26.18335,55.63395,37.87801,64.26865,,,,
Klaralven,240221835,240221835,Klaralven,57.79051,11.81827,Sweden,,11.36162,57.7634,14.73965,62.44942,,,389.0,
Skelleftea,240235265,240235265,Skelleftea,64.70465,21.15803,Sweden,,15.65811,64.66676,21.15803,66.78766,,,522.0,
Daugava,240241461,240241461,Daugava,57.06251,24.02517,Latvia,,24.02517,54.49161,33.81261,57.64996,,,512.0,
Torne,240244417,240244417,Torne,65.81599,24.15179,Finland,,20.12249,65.81599,25.10521,69.004,,,383.0,
Vistula,240246223,240246223,Vistula,54.37184,18.77964,Poland,,17.05348,49.05415,25.06625,54.42784,,,376.0,
Oder,240250867,240250867,Oder,53.72494,14.45068,Poland,,13.56411,49.43937,19.56747,53.99117,,,375.0,
Ume,240264118,240264118,Ume,63.77787,20.31978,Sweden,,14.61684,63.77787,20.31978,66.48799,,,381.0,
Kymi,240264305,240264305,Kymi,60.49575,26.9368,Finland,,24.34393,60.49575,27.41275,63.50698,,,393.0,
Norrstrom,240266668,240266668,Norrstrom,59.46797,18.61253,Sweden,,14.47665,58.9013,18.61577,60.36208,,,390.0,
Dalälven,240268908,240268908,Dalälven,60.63475,17.44539,Sweden,,12.00067,60.04419,17.4559,62.23586,,,382.0,
Narva,240271276,240271276,Narva,59.50674,27.98094,Estonia,,25.67302,56.13695,30.184,59.50674,,,513.0,
Kokemaën,240273462,240273462,Kokemaën,61.55142,21.70847,Finland,,21.70847,60.6703,25.21675,62.77909,,,394.0,
Ljusnan,240311494,240311494,Ljusnan,61.20175,17.14477,Sweden,,12.1229,61.19219,17.14477,62.78031,,,388.0,
Ljungen,240317196,240317196,Ljungen,62.32409,17.3944,Sweden,,12.59445,62.1422,17.3944,63.10276,,,521.0,
Angerman,240319458,240319458,Angerman,63.01264,17.79166,Sweden,,13.44168,62.93364,17.93299,65.36788,,,387.0,
Indal,240360956,240360956,Indal,62.54853,17.43221,Sweden,,12.06923,62.5142,17.43221,64.33909,,,520.0,
Glomma,250050536,250050536,Glomma,59.19038,10.95024,Norway,,7.5476,59.19038,12.61844,62.72261,,,386.0,
Drammen,250083252,250083252,Drammen,59.6186,10.41905,Norway,,7.50472,59.51382,10.58055,61.32727,,,519.0,
Kem,250091951,250091951,Kem,64.95306,34.68617,Russia,,29.07736,63.6785,34.68617,66.05695,,,396.0,
Vyg,250104868,250104868,Vyg,64.50906,34.82324,Russia,,31.99034,62.65005,36.622,64.53084,,,397.0,
Pasvik,250141347,250141347,Pasvik,69.68619,30.11178,Norway,,24.96195,68.30152,30.53222,69.68619,,,524.0,
Volga,280274809,280274809,Volga,46.39331,49.74058,Kazakhstan,,32.05925,46.39331,60.37034,61.90111,,,110.0,
