TerminalLink,VPUCode
210222388,201
210035591,202
210009306,202
210185991,201
210400614,201
210253880,201
210257168,202
210250849,202
210207568,202
210217105,202
210072470,202
210029258,202
210029286,202
220101538,204
220352707,203
220458837,206
220199041,204
220476757,206
220424490,203
220396971,206
220464433,206
220472736,206
220315886,206
220311764,205
220314522,206
220219670,204
220207294,204
220094608,205
220168943,204
220146924,204
220197844,204
220168949,204
220067333,204
220078363,204
220391457,203
220475405,206
220425857,206
220380497,205
220416289,205
220446575,206
220339283,206
220271880,204
220278801,204
220058799,204
220164823,204
220195102,204
220063227,204
220418987,206
220399766,205
220243014,204
220237514,205
220170197,204
220072563,204
220086348,204
220101500,204
220453476,205
220236100,204
220179814,204
220097381,204
220129175,204
220075315,204
220056050,204
220181343,204
230064425,207
230309376,207
230395383,207
230298714,209
230128077,208
230065525,207
230069880,207
230060089,207
230061182,207
230105847,207
230124366,207
230297396,209
230287604,207
230320253,207
230309377,207
230399689,207
230302876,207
230410596,207
230398648,207
230357328,207
230345376,207
230375843,207
230448739,207
230309495,207
230321528,209
230304121,209
230145487,208
230131472,208
230171770,208
230113103,208
230014158,207
230016332,207
230060015,207
230053489,207
230042625,207
230058949,207
230087247,207
230069857,207
230050313,207
230123252,207
230125443,207
230125450,207
230136334,207
230142865,207
230208165,207
230305016,207
230368120,207
230381183,207
230418186,207
230412757,207
230387733,207
230313778,207
230351861,207
230367105,209
230405212,207
230388896,207
230273569,209
230302966,207
230279095,209
230343290,209
230093180,208
230161808,208
230186834,208
230174867,208
230129267,208
230078292,208
230045879,207
230044800,207
230058982,207
230092758,207
230085165,207
230111288,207
230153749,207
230147225,207
230237547,207
230400783,207
230300688,207
230378015,207
230367154,207
230261637,209
230311718,209
230340017,209
230310648,209
230237753,209
230312824,209
230141081,208
230121498,208
230131338,208
230211859,208
230106372,208
230152216,208
230045889,207
230059019,207
230335500,207
230409515,207
230267068,207
230055669,207
230317112,207
230008710,207
230330037,207
240160201,211
240220436,210
240194154,211
240148728,211
240136124,211
240156864,211
240171843,211
240107351,211
240175389,210
240199609,211
240249152,211
240190405,211
240218088,210
240230801,211
240280335,210
240231973,211
240199719,211
240268898,211
240203248,211
240196336,210
240173303,210
240157186,210
240156044,210
240153773,210
240167641,211
240211451,210
240176914,211
240196500,210
240205752,211
240179273,211
240190792,211
240194277,211
240162085,211
240181709,211
240162190,211
240205381,211
240203171,210
240294185,211
240223921,210
240190542,211
240197457,210
240213607,210
240229738,210
240142212,210
240186048,211
240237886,210
240211399,211
240236742,210
240152652,210
240204496,210
240224082,210
240210269,210
240220639,210
240190697,210
240165429,211
240196543,211
240198847,211
240189640,211
240187348,211
240215010,211
240183909,211
240187415,211
240135583,211
240124099,211
240190947,211
240118543,210
240139638,210
240153472,210
240193858,210
240204248,210
240279157,211
240226271,211
240158327,210
240160696,211
240201031,210
240186094,211
240187295,211
240175893,211
240159765,211
240178209,210
240163234,211
240158645,211
240102355,210
240177680,210
240191520,210
240137615,210
240193000,210
240200003,211
240190801,211
240220784,211
240180481,211
240220803,211
240135620,211
240143014,211
240176904,211
240173599,211
250067524,212
250076466,212
250082436,212
250055663,212
250056656,212
250053697,212
250127480,212
250123548,212
250139422,212
250075155,212
250048420,212
250054489,212
250025765,212
250072445,212
250092287,212
250080385,212
250148837,212
250063532,212
250131978,212
250112143,212
250120080,212
250100257,212
250075492,212
250012073,212
250012082,212
250024244,212
250031191,212
250032183,212
250058977,212
250061953,212
250124493,212
250175095,212
250152290,212
250149328,212
250124555,212
250112689,212
250117651,212
250100800,212
250119662,212
250095869,212
250062216,212
250070153,212
250071169,212
250073168,212
250074160,212
250051376,212
250077199,212
250041523,212
250085179,212
250035651,212
250012880,212
250013872,212
250042682,212
250065500,212
250113134,212
250121075,212
250091316,212
250060580,212
250116157,212
250055653,212
250043750,212
250060628,212
250079482,212
250075518,212
250066594,212
250046769,212
250035858,212
250038834,212
250035860,212
250018013,212
250013060,212
250010087,212
250106625,212
250168149,212
250157240,212
250183045,212
250172150,212
250141407,212
250119585,212
250111677,212
250101776,212
250120637,212
250112706,212
250108743,212
250100819,212
250089907,212
250090902,212
250107772,212
250073054,212
250057194,212
250050271,212
250056227,212
250035512,212
250035514,212
250038498,212
250046431,212
250070298,212
250049485,212
250047507,212
250056441,212
250043675,212
250097247,212
250065501,212
250073441,212
250073446,212
250149841,212
250117106,212
250094333,212
250050695,212
250033842,212
250037810,212
250059651,212
250041796,212
250045766,212
250032878,212
250036850,212
250020995,212
250075847,212
250066929,212
250120516,212
250119535,212
250138390,212
250158262,212
250113635,212
250123565,212
250072132,212
250080107,212
250073182,212
250034580,212
250050484,212
250067357,212
250056474,212
250083371,212
250009352,212
250025234,212
250153267,212
250148341,212
250086936,212
250052294,212
250076126,212
250076152,212
250064381,212
250073086,212
250061376,212
280251844,215
280276083,214
280258662,215
280227618,215
280258852,213
280355383,215
280235620,215
280279399,215
280204524,215
280189550,215
280189576,215
280189583,215
280216170,215
280164367,213
280195484,215
280325717,213
280341846,213
280283240,213
280290200,213
280268488,214
280265571,214
280251751,215
280241384,215
280212624,215
280241441,215
280227623,214
280266791,215
280198848,215
280221914,215
280246113,215
280241533,215
280285382,213
280247365,213
280295763,213
280319961,213
280372960,213
280311919,213
280367246,213
280272784,213
280279806,213
280274049,213
280272483,215
280254108,214
280172352,215
280289920,215
280238078,215
280253100,213
280286515,215
280264649,213
280325723,213
280331541,213
280294678,213
280185379,213
280165810,213
280280487,215
280264418,215
280275942,214
280238051,215
280223089,215
280309612,213
280323436,213
280193439,213
280145070,213
310059600,301
310091499,301
310097483,301
310123286,301
310155087,301
310186922,301
310495301,302
310503280,302
310477600,302
310551069,302
310390404,302
310336856,302
310406312,302
310328950,302
310039640,302
310033749,301
310031795,301
310035762,301
310077441,301
310065544,301
310083435,301
310073521,301
310047742,301
310083455,301
310083467,301
310085451,301
310107300,301
310137099,301
310129194,301
310117293,301
310143089,301
310139150,301
310133200,301
310139174,301
310139186,301
310119345,301
310109465,301
310149155,301
310244400,301
310216627,301
310174989,301
310163106,301
310212742,301
310280202,301
310244512,301
310323877,301
310268332,301
310323908,301
310373517,301
310371896,302
310336568,302
310527062,302
310465559,302
310564770,302
310533025,302
310451692,302
310489413,302
310457676,302
310376337,302
310461678,302
310427960,302
310400186,302
310447831,302
310465689,302
310392294,302
310408169,302
310398251,302
310499443,302
310477628,302
310441916,302
310398269,302
310459787,302
310495504,302
310545104,302
310511379,302
310410200,302
310437979,302
310382435,302
310487587,302
310455843,302
310420159,302
310356672,302
310410252,302
310374545,302
310338868,302
310364669,302
310309141,302
310424224,302
310434180,302
310380625,302
310362798,302
310124788,302
310061451,302
310023841,301
310037747,301
310059575,301
310063558,301
310073508,301
310091377,301
310091392,301
310073538,301
310075555,301
310146991,301
310158917,301
310111304,301
310160907,301
310127213,301
310111361,301
310145105,301
310182806,301
310184798,301
310157043,301
310133234,301
310145146,301
310164988,301
310129281,301
310182880,301
310200738,301
310145187,301
310230504,301
310226537,301
310188856,301
310172988,301
310234542,301
310242478,301
310182963,301
310190901,301
310218680,301
310234556,301
310274262,301
310222688,301
310288173,301
310282228,301
310339787,301
310449667,302
310409992,302
310513164,302
310523089,302
310421912,302
310507230,302
310455655,302
310481452,302
310437813,302
310429871,302
310556859,302
310477514,302
310467595,302
310433873,302
310580695,302
310386262,302
310457693,302
310527132,302
310435871,302
310459679,302
310499359,302
310487454,302
310467629,302
310469613,302
310481531,302
310493437,302
310437880,302
310378366,302
310433933,302
310441876,302
310485535,302
310489507,302
310435941,302
310376430,302
310539117,302
310416110,302
310447856,302
310416120,302
310467706,302
310535168,302
310461757,302
310507388,302
310354627,302
310428032,302
310396296,302
310447877,302
310412165,302
310439944,302
310414151,302
310433995,302
310362574,302
310495507,302
310370516,302
310420117,302
310473683,302
310533206,302
310497505,302
310372525,302
310475700,302
310491572,302
310463793,302
310469775,302
310396371,302
310346776,302
310438039,302
310465815,302
310420191,302
310493597,302
310350756,302
310281316,302
310398373,302
310319017,302
310384489,302
310386473,302
310424170,302
310444026,302
310362686,302
310328959,302
310352769,302
310424207,302
310428175,302
310422240,302
310332963,302
310291305,302
310372704,302
310364781,302
310392561,302
310144632,302
310162485,302
310031727,302
310021837,301
310021856,301
310019872,301
310015910,301
310061574,301
310061605,301
310075510,301
310141045,301
310178744,301
310147011,301
310145047,301
310115328,301
310125275,301
310109430,301
310097533,301
310137212,301
310159043,301
310153101,301
310218605,301
310226569,301
310196821,301
310196822,301
310208735,301
310196847,301
310220662,301
310256420,301
310304071,301
310419460,301
310501227,302
310457591,302
310505226,302
310465550,302
310415964,302
310497327,302
310390201,302
310529082,302
310402118,302
310507272,302
310501320,302
310449737,302
310419989,302
310435861,302
310449752,302
310626327,302
310503327,302
310408115,302
310418033,302
310497395,302
310477562,302
310398222,302
310382359,302
310439907,302
310334754,302
310451820,302
310422060,302
310564911,302
310443897,302
310495483,302
310515327,302
310501442,302
310483584,302
310402248,302
310402253,302
310437966,302
310495510,302
310410201,302
310435991,302
310523287,302
310521307,302
310491547,302
310396319,302
310495525,302
310424111,302
310489578,302
310434034,302
310402293,302
310402301,302
310408249,302
310346747,302
310424131,302
310531269,302
310477710,302
310416207,302
310533271,302
310426133,302
310473749,302
310394399,302
310372580,302
310358698,302
310368616,302
310445996,302
310418228,302
310434102,302
310432122,302
310418234,302
310334910,302
310295236,302
310410316,302
310332962,302
310364708,302
310327019,302
310346857,302
310309168,302
310370677,302
310410361,302
310338944,302
310315149,302
310392552,302
310376689,302
310164470,302
310079305,302
310083276,302
310061461,302
310027804,301
310021857,301
310019889,301
310065563,301
310087401,301
310077512,301
310107309,301
310135088,301
310129212,301
310139195,301
310129289,301
310258357,301
310220659,301
310298070,301
310343728,301
310313968,301
310485382,302
